cell_id,p_hotspot_next
4089.0_93.0,0.7408842173834578
4089.0_203.0,0.7401389473236677
4054.0_153.0,0.7372795706947783
4084.0_123.0,0.7334137450216176
4069.0_48.0,0.7326299770075317
4024.0_28.0,0.731248664042612
4049.0_103.0,0.7307638928561366
4089.0_83.0,0.7307287672553633
3939.0_293.0,0.7301079438363449
3954.0_158.0,0.7297082574079654
3964.0_143.0,0.7279526334040793
3949.0_103.0,0.727818027641435
3964.0_68.0,0.7274936905864848
3954.0_148.0,0.7274283066880013
3944.0_158.0,0.727320071112472
4094.0_78.0,0.7267396748246822
3964.0_153.0,0.7267012927642784
3959.0_163.0,0.7254324188338211
4044.0_78.0,0.7251258099301311
3934.0_268.0,0.7250083514856406
3959.0_103.0,0.7248151801050322
4049.0_183.0,0.7247778288633537
3959.0_198.0,0.7246497406546893
3999.0_268.0,0.7244417527667668
4069.0_33.0,0.7244259708254672
3949.0_108.0,0.7243542123182956
3934.0_133.0,0.724343344192904
3934.0_138.0,0.7236577081777068
3924.0_173.0,0.7236143457864501
3929.0_148.0,0.7236026240712439
3994.0_198.0,0.7234076825270006
3959.0_78.0,0.7233000741461226
3959.0_248.0,0.7231571284271817
3969.0_93.0,0.7231158227966028
3934.0_223.0,0.7228169843641179
3969.0_83.0,0.7228160425177594
3959.0_138.0,0.722788960012474
3974.0_53.0,0.7227132050772967
3964.0_193.0,0.722709211733128
3954.0_108.0,0.7226289065988613
3939.0_168.0,0.7226189965077765
3939.0_128.0,0.7225205886852862
3959.0_208.0,0.7222607529101159
3964.0_98.0,0.7221837857543221
3954.0_128.0,0.7221416377913592
3954.0_103.0,0.7221065591060316
3929.0_218.0,0.7220072453746249
3959.0_98.0,0.7219042017655145
3974.0_88.0,0.7218487072470047
4064.0_33.0,0.721757490661794
3964.0_163.0,0.7217191471165388
3949.0_163.0,0.7216848708723886
4069.0_63.0,0.7216506763332093
3914.0_218.0,0.7212846660160436
4054.0_43.0,0.7212758622005823
3959.0_108.0,0.7212644785804084
3939.0_123.0,0.7210896001517094
3944.0_108.0,0.7210244060559375
4019.0_278.0,0.7207315355694517
3994.0_83.0,0.7207067348797661
4044.0_258.0,0.7205845854949043
3934.0_143.0,0.7204997448466004
4034.0_73.0,0.7203380539795361
3944.0_113.0,0.720310101663875
4029.0_28.0,0.7202795175290498
3949.0_123.0,0.7202334215697552
4014.0_253.0,0.7202229618007037
3954.0_203.0,0.7200017319225659
4014.0_263.0,0.719983113109403
4049.0_278.0,0.7199120486595639
4039.0_283.0,0.7198195811802881
3944.0_188.0,0.7197465362986789
3919.0_268.0,0.719580775216684
3979.0_118.0,0.7195460488495027
3924.0_238.0,0.7195065403417099
3954.0_93.0,0.7194098068693067
3944.0_118.0,0.7192595685300079
3989.0_133.0,0.7191995823832114
3974.0_148.0,0.7191056931676251
4074.0_33.0,0.7190885119699495
4089.0_63.0,0.7190356318402154
4034.0_68.0,0.7189544406052926
3949.0_118.0,0.7189237927720741
3979.0_168.0,0.7189185914193809
4079.0_58.0,0.7188853624490544
3974.0_263.0,0.718549743096528
3969.0_88.0,0.7185147679951599
3979.0_163.0,0.7184017851570992
3949.0_113.0,0.7184004574261532
3959.0_83.0,0.7183975066455499
4099.0_93.0,0.7183815514767881
3939.0_118.0,0.718363654776534
3989.0_138.0,0.7181984035707119
3929.0_178.0,0.7181975916332249
3994.0_138.0,0.718123909030313
3949.0_243.0,0.7179976713759735
3974.0_93.0,0.7179721980575123
3919.0_218.0,0.7178886393572247
4079.0_68.0,0.7178554170605075
4009.0_68.0,0.7178152111467213
4069.0_83.0,0.7177578764666726
4039.0_68.0,0.7176962831881858
4039.0_138.0,0.7176948722736939
3964.0_188.0,0.7176546319878151
3934.0_283.0,0.7176390013006572
3984.0_198.0,0.7175883156123978
3994.0_78.0,0.7175653886989585
3954.0_98.0,0.7175594646187654
4009.0_288.0,0.7173447972796938
4049.0_123.0,0.7171789461190792
4084.0_83.0,0.717161363890933
3959.0_88.0,0.7171565707246204
4099.0_68.0,0.717101289822332
3939.0_198.0,0.7170545031731346
3914.0_268.0,0.7170029225526748
4024.0_98.0,0.7169261157879763
3944.0_183.0,0.716898816485041
3959.0_113.0,0.7167314731967129
3954.0_178.0,0.7167244280972593
3964.0_213.0,0.7166316284910976
4089.0_68.0,0.7166153720027573
