cell_id,p_hotspot_next,mid_date,mobility_count,anomaly_prob_norm
4089.0_93.0,0.7408842173834578,2015-01-01,,
3974.0_283.0,0.417654320044032,2015-01-01,,
3919.0_203.0,0.4178367678484804,2015-01-01,,
3929.0_228.0,0.4178895288398623,2015-01-01,,
3969.0_238.0,0.4179785137228343,2015-01-01,,
3929.0_273.0,0.4179822671503105,2015-01-01,,
4074.0_188.0,0.4183706341837866,2015-01-01,,
4019.0_193.0,0.4184076612090833,2015-01-01,,
3949.0_293.0,0.4184772324556399,2015-01-01,,
3929.0_278.0,0.4186129254126449,2015-01-01,,
3939.0_248.0,0.4186490092552461,2015-01-01,,
3949.0_213.0,0.4186872153619759,2015-01-01,,
3939.0_233.0,0.4176283862683504,2015-01-01,,
3919.0_293.0,0.4190729860680244,2015-01-01,,
3964.0_208.0,0.4206996139816234,2015-01-01,,
3914.0_203.0,0.4208359239727661,2015-01-01,,
4064.0_213.0,0.4211291758396962,2015-01-01,,
3934.0_193.0,0.421535139795525,2015-01-01,,
3939.0_238.0,0.4216252406347625,2015-01-01,,
3949.0_168.0,0.4216421404296099,2015-01-01,,
3944.0_288.0,0.4218802595446844,2015-01-01,,
4019.0_153.0,0.4223514458356588,2015-01-01,,
3914.0_188.0,0.4226145458111884,2015-01-01,,
3964.0_203.0,0.4231742603969222,2015-01-01,,
3919.0_183.0,0.4235246324419962,2015-01-01,,
3999.0_308.0,0.419666516896076,2015-01-01,,
3959.0_183.0,0.4175730493444242,2015-01-01,,
3949.0_173.0,0.4173430938394177,2015-01-01,,
3949.0_263.0,0.4172963016652306,2015-01-01,,
3989.0_313.0,0.4145829558504147,2015-01-01,,
3984.0_233.0,0.4146580951316155,2015-01-01,,
4059.0_143.0,0.4146980292085189,2015-01-01,,
3924.0_193.0,0.4147371356378307,2015-01-01,,
3954.0_253.0,0.4148367917942291,2015-01-01,,
3959.0_233.0,0.4151020901503554,2015-01-01,,
3979.0_248.0,0.4154351209391886,2015-01-01,,
3989.0_298.0,0.4155692056687795,2015-01-01,,
3954.0_163.0,0.415609475350386,2015-01-01,,
3969.0_138.0,0.4156777786709648,2015-01-01,,
3954.0_133.0,0.4158191113133055,2015-01-01,,
4024.0_298.0,0.4158729758962737,2015-01-01,,
3944.0_248.0,0.4160473016744276,2015-01-01,,
3939.0_258.0,0.4161297484212745,2015-01-01,,
3919.0_238.0,0.4161320552881128,2015-01-01,,
4064.0_208.0,0.4162532782646951,2015-01-01,,
3949.0_258.0,0.4163146471386763,2015-01-01,,
4044.0_158.0,0.416316402527597,2015-01-01,,
3944.0_293.0,0.4163601001033928,2015-01-01,,
3944.0_278.0,0.4165991412956031,2015-01-01,,
3984.0_318.0,0.4167947117655766,2015-01-01,,
3944.0_178.0,0.4171052600060756,2015-01-01,,
3954.0_143.0,0.4171452912616252,2015-01-01,,
4034.0_148.0,0.4171943157047353,2015-01-01,,
3999.0_303.0,0.4171958818492225,2015-01-01,,
3964.0_138.0,0.4239219995299211,2015-01-01,,
3969.0_198.0,0.4244081701984947,2015-01-01,,
4014.0_293.0,0.42449873299811,2015-01-01,,
3949.0_273.0,0.4246445622791358,2015-01-01,,
4024.0_58.0,0.4719832393102843,2015-01-01,,
3994.0_118.0,0.472002004885299,2015-01-01,,
3984.0_308.0,0.472074972909907,2015-01-01,,
4024.0_233.0,0.4721390721294336,2015-01-01,,
4069.0_78.0,0.4722355117197895,2015-01-01,,
3994.0_233.0,0.4722366669623439,2015-01-01,,
4024.0_33.0,0.472266880970193,2015-01-01,,
4084.0_173.0,0.4723392038550726,2015-01-01,,
4024.0_68.0,0.4724253736360343,2015-01-01,,
4049.0_208.0,0.4726987918664452,2015-01-01,,
3984.0_58.0,0.4730042187562138,2015-01-01,,
3974.0_63.0,0.4730469047985638,2015-01-01,,
4009.0_268.0,0.4731641790152645,2015-01-01,,
3999.0_83.0,0.473307422509463,2015-01-01,,
3999.0_48.0,0.4739215174897423,2015-01-01,,
4099.0_128.0,0.4740468811618385,2015-01-01,,
4024.0_293.0,0.4741015248421198,2015-01-01,,
4004.0_138.0,0.4744509760497019,2015-01-01,,
3979.0_138.0,0.4746028658876464,2015-01-01,,
3984.0_218.0,0.4747644598179306,2015-01-01,,
4014.0_178.0,0.4754918865041609,2015-01-01,,
3989.0_228.0,0.4757414147778173,2015-01-01,,
3994.0_228.0,0.4761207821708225,2015-01-01,,
3974.0_333.0,0.4762380891494613,2015-01-01,,
4094.0_208.0,0.4763364011318226,2015-01-01,,
3984.0_228.0,0.4711214489462381,2015-01-01,,
3939.0_263.0,0.4145538854020897,2015-01-01,,
3979.0_218.0,0.4704600965520548,2015-01-01,,
4029.0_228.0,0.4700990293589936,2015-01-01,,
4029.0_133.0,0.4249216460397859,2015-01-01,,
3969.0_158.0,0.4253231778138084,2015-01-01,,
3944.0_273.0,0.4255661534118861,2015-01-01,,
3949.0_158.0,0.42587915646879,2015-01-01,,
3949.0_278.0,0.4266879794578637,2015-01-01,,
3979.0_133.0,0.4272437337464123,2015-01-01,,
3939.0_143.0,0.4301729188182642,2015-01-01,,
3969.0_148.0,0.4312097102818817,2015-01-01,,
3984.0_138.0,0.4312943082822915,2015-01-01,,
3994.0_133.0,0.4318134020004451,2015-01-01,,
3979.0_368.0,0.4440583350410582,2015-01-01,,
3964.0_343.0,0.4507980687010736,2015-01-01,,
3974.0_318.0,0.452743048970218,2015-01-01,,
3969.0_353.0,0.4537698909316166,2015-01-01,,
3944.0_343.0,0.4588034872113505,2015-01-01,,
3969.0_348.0,0.459920071440666,2015-01-01,,
3979.0_343.0,0.4611889130228362,2015-01-01,,
4024.0_53.0,0.4619210080831131,2015-01-01,,
4004.0_173.0,0.4629115170101529,2015-01-01,,
4024.0_263.0,0.4643135369777563,2015-01-01,,
3994.0_53.0,0.4666465635485843,2015-01-01,,
4019.0_38.0,0.4680673444376144,2015-01-01,,
4019.0_233.0,0.4687594743476392,2015-01-01,,
4059.0_83.0,0.4689423104157935,2015-01-01,,
3984.0_193.0,0.4691793996300228,2015-01-01,,
4044.0_103.0,0.4702151599881169,2015-01-01,,
3979.0_258.0,0.4145185915034524,2015-01-01,,
3974.0_238.0,0.4144477651502956,2015-01-01,,
3909.0_243.0,0.414433792749024,2015-01-01,,
3944.0_298.0,0.4062430645493308,2015-01-01,,
4059.0_228.0,0.4062952792340874,2015-01-01,,
3969.0_253.0,0.4063232961450121,2015-01-01,,
3964.0_298.0,0.4063308264220312,2015-01-01,,
3954.0_298.0,0.4065401886931689,2015-01-01,,
4054.0_208.0,0.4065814520373591,2015-01-01,,
3964.0_243.0,0.4066274861809625,2015-01-01,,
3979.0_338.0,0.4066345861118199,2015-01-01,,
4024.0_118.0,0.4067904027552686,2015-01-01,,
3979.0_173.0,0.4067921726888447,2015-01-01,,
3994.0_288.0,0.4068568744516103,2015-01-01,,
4004.0_298.0,0.4069472091405923,2015-01-01,,
3984.0_313.0,0.407045810358264,2015-01-01,,
3979.0_273.0,0.4071402657852341,2015-01-01,,
3979.0_203.0,0.4071531252942548,2015-01-01,,
3904.0_213.0,0.4072683937041896,2015-01-01,,
3974.0_218.0,0.4072811894653489,2015-01-01,,
4064.0_148.0,0.4074412840613643,2015-01-01,,
4004.0_303.0,0.4075796065080482,2015-01-01,,
4074.0_113.0,0.4076753374134785,2015-01-01,,
3969.0_163.0,0.4076984972457363,2015-01-01,,
3994.0_303.0,0.4077180162690794,2015-01-01,,
3999.0_203.0,0.40774956593382,2015-01-01,,
3934.0_303.0,0.407853937125292,2015-01-01,,
3949.0_288.0,0.4078962043073474,2015-01-01,,
3974.0_153.0,0.4061251184271559,2015-01-01,,
3989.0_283.0,0.4079608887267386,2015-01-01,,
4059.0_188.0,0.4059943725887475,2015-01-01,,
3934.0_183.0,0.4057384932093656,2015-01-01,,
3994.0_283.0,0.4034989362214483,2015-01-01,,
4029.0_243.0,0.4036176078742402,2015-01-01,,
3989.0_168.0,0.4036250901762352,2015-01-01,,
3894.0_243.0,0.4036817723359757,2015-01-01,,
4059.0_58.0,0.403760170187288,2015-01-01,,
3949.0_303.0,0.4037739323896701,2015-01-01,,
4014.0_298.0,0.4039465608760642,2015-01-01,,
3979.0_298.0,0.4040502497986066,2015-01-01,,
4064.0_58.0,0.4040613620319572,2015-01-01,,
4014.0_288.0,0.4041451425883502,2015-01-01,,
4009.0_248.0,0.4043607745506521,2015-01-01,,
3934.0_173.0,0.4044258238005582,2015-01-01,,
3919.0_198.0,0.4044342469868408,2015-01-01,,
3954.0_283.0,0.404620335756364,2015-01-01,,
4029.0_288.0,0.4047173179136683,2015-01-01,,
3944.0_173.0,0.4049070250526692,2015-01-01,,
3914.0_213.0,0.4049940654068817,2015-01-01,,
3924.0_288.0,0.4050483085080739,2015-01-01,,
3989.0_243.0,0.4051547028859146,2015-01-01,,
3979.0_253.0,0.4051796896406948,2015-01-01,,
3929.0_223.0,0.4053143398495765,2015-01-01,,
3964.0_338.0,0.4053461244009266,2015-01-01,,
3944.0_208.0,0.4054550309727895,2015-01-01,,
4089.0_198.0,0.405648977347007,2015-01-01,,
4059.0_178.0,0.4057081926623982,2015-01-01,,
4009.0_308.0,0.4057873936853901,2015-01-01,,
3989.0_128.0,0.4768105836164861,2015-01-01,,
3969.0_278.0,0.4080364552099592,2015-01-01,,
4034.0_253.0,0.4081023067645281,2015-01-01,,
4009.0_198.0,0.4112963971354348,2015-01-01,,
4004.0_248.0,0.4113757502633918,2015-01-01,,
3989.0_238.0,0.4115719034116041,2015-01-01,,
3969.0_243.0,0.4115879014123755,2015-01-01,,
3999.0_143.0,0.4116392343565002,2015-01-01,,
3914.0_278.0,0.4117556959428055,2015-01-01,,
3974.0_173.0,0.4119644422252419,2015-01-01,,
4034.0_268.0,0.4119847557745325,2015-01-01,,
3969.0_303.0,0.4119895121719756,2015-01-01,,
3969.0_228.0,0.4120606610091007,2015-01-01,,
3959.0_283.0,0.4121241645345241,2015-01-01,,
4019.0_238.0,0.4123597141493672,2015-01-01,,
3969.0_258.0,0.4124606966155934,2015-01-01,,
3984.0_303.0,0.4126670020036117,2015-01-01,,
3969.0_273.0,0.4128130950488886,2015-01-01,,
3949.0_208.0,0.4128662458631801,2015-01-01,,
3974.0_273.0,0.4130108130281658,2015-01-01,,
3974.0_278.0,0.4132477871334322,2015-01-01,,
3989.0_163.0,0.41328334688192,2015-01-01,,
3969.0_248.0,0.4134358254013714,2015-01-01,,
3954.0_278.0,0.4134723666625222,2015-01-01,,
3999.0_278.0,0.413983131893224,2015-01-01,,
3994.0_308.0,0.4142123551958639,2015-01-01,,
3994.0_298.0,0.4142208808697329,2015-01-01,,
3954.0_273.0,0.414277832064191,2015-01-01,,
3974.0_253.0,0.4112131106886674,2015-01-01,,
3954.0_293.0,0.408062689206657,2015-01-01,,
4014.0_303.0,0.4110358111437183,2015-01-01,,
3979.0_303.0,0.4109632136817341,2015-01-01,,
3924.0_228.0,0.4081250680889698,2015-01-01,,
3999.0_223.0,0.4082416545727058,2015-01-01,,
3969.0_218.0,0.4082489402543488,2015-01-01,,
3929.0_203.0,0.4082543489187245,2015-01-01,,
3909.0_273.0,0.4083410298641765,2015-01-01,,
4079.0_158.0,0.4083579617076629,2015-01-01,,
3989.0_248.0,0.4084107778859923,2015-01-01,,
3919.0_213.0,0.4085792690922101,2015-01-01,,
3939.0_278.0,0.4087337619723369,2015-01-01,,
4074.0_208.0,0.4087784179548084,2015-01-01,,
3989.0_93.0,0.4088740553645356,2015-01-01,,
4009.0_228.0,0.4088957082271098,2015-01-01,,
4024.0_268.0,0.4089210984205239,2015-01-01,,
3979.0_278.0,0.4090224964649176,2015-01-01,,
3944.0_283.0,0.4093553364246031,2015-01-01,,
4019.0_218.0,0.409370058837106,2015-01-01,,
4054.0_253.0,0.4094550905222692,2015-01-01,,
3989.0_158.0,0.409456007065488,2015-01-01,,
3939.0_243.0,0.4101832472907721,2015-01-01,,
3929.0_303.0,0.4103750367132283,2015-01-01,,
4029.0_293.0,0.4104195356062016,2015-01-01,,
3939.0_188.0,0.4104203076317421,2015-01-01,,
3984.0_148.0,0.4106117063140078,2015-01-01,,
3984.0_248.0,0.4106944469889328,2015-01-01,,
3919.0_278.0,0.4107249015604046,2015-01-01,,
3969.0_283.0,0.4109732627933617,2015-01-01,,
3989.0_263.0,0.4769180167912311,2015-01-01,,
4064.0_73.0,0.4769370142156409,2015-01-01,,
3979.0_288.0,0.4769996949725246,2015-01-01,,
4084.0_163.0,0.5336009250886381,2015-01-01,,
4024.0_203.0,0.5354939067145278,2015-01-01,,
4044.0_193.0,0.5370631766419061,2015-01-01,,
4094.0_203.0,0.5371277692403336,2015-01-01,,
4094.0_143.0,0.5372493955062385,2015-01-01,,
4099.0_193.0,0.537775636377463,2015-01-01,,
4019.0_248.0,0.5377951422004053,2015-01-01,,
3979.0_313.0,0.5378252501022489,2015-01-01,,
4034.0_188.0,0.5381924227765765,2015-01-01,,
4029.0_208.0,0.538554152123289,2015-01-01,,
4064.0_183.0,0.539263164431667,2015-01-01,,
4084.0_153.0,0.5394483463151467,2015-01-01,,
4044.0_223.0,0.5399450613235608,2015-01-01,,
4039.0_233.0,0.541627132709692,2015-01-01,,
4044.0_243.0,0.5417618706143628,2015-01-01,,
3999.0_288.0,0.5423097463857632,2015-01-01,,
